link,nome,preco,nquartos,nbanheiros,ngaragem,area,data_scraping
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campo-duna-1422042188,CASAS NO CAMPO DUNA,645000,3,3,3,120,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-a-partir-de-r-749-950-00-no-pedra-branca-1433881201,"Casas a partir de R$749.950,00 no Pedra Branca",745950,2,3,2,90,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-a-venda-em-um-terreno-de-360-m2-bairro-alto-aririu-palhoca-sc-250-mil-1434336683,Duas casas a venda em um terreno de 360 m2 Bairro Alto Aririu Palhoça SC - 250 mil,250000,4,2,2,120,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-5-dormitorios-no-bairro-ipiranga-em-sao-jose-1434331985,Casas com 5 dormitórios no Bairro Ipiranga em São José,900000,5,4,3,180,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434326155,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",1950000,5,5,5,476,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434324394,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",1950000,5,5,5,476,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-e-apartamentos-no-sul-da-ilha-1379940912,Casas e Apartamentos no Sul da ilha!,1150000,3,3,2,145,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-no-mesmo-terreno-1433696952,Duas casas no mesmo terreno,350000,3,3,1,380,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campeche-com-piscina-1433643157,Casas no Campeche com piscina,1500000,4,4,4,120,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-pre-fabricadas-1433548568,casas pré fabricadas,36000,2,1,4,36,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-casas-1374702297,Aluguel de casas,4200,2,3,5,150,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-vista-panoramica-em-ponta-das-canas-1433394882,Casas com Vista Panorâmica em Ponta das Canas,25000000,4,4,5,1960,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/vendo-duas-casas-em-rio-dos-cedros-450-mil-1433268724,Vendo duas casas em  rio dos cedros!! 450 mil,450000,4,2,2,200,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-casa-4-quartos-com-ponto-comercial-140m-proximo-casas-da-agua-aririu-palhoca-1433224226,"Vendo Casa 4 quartos, com ponto comercial, 140m², próximo Casas da Água, Aririú - Palhoça",410000,4,3,1,140,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/duas-casas-madeiras-rua-alois-peiker-padre-eduardo-taio-s-c-lado-posto-saude-fora-en-1432989633,"DUAS CASAS MADEIRAS, RUA ALOIS PEIKER, PADRE EDUARDO, TAIÓ, S.C, LADO POSTO SAUDE, FORA EN",210000,4,2,1,360,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-em-condominio-livin-jurere-home-square-florianopolis-ref-624-1433111806,"Casas em Condomínio - Livin Jurerê Home Square, Florianópolis REF: 624",2540000,3,4,3,279,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-em-condominio-alameda-cacupe-florianopolis-ref-455-1433111759,"Casas em Condomínio - Alameda Cacupé, Florianópolis REF: 455",2650000,3,4,2,241,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-vila-no-canto-da-lagoa-1378603560,CASAS VILA NO  CANTO DA LAGOA,3000,2,1,1,70,2025-09-05 19:42:48
