link,nome,preco,nquartos,nbanheiros,ngaragem,area,data_scraping
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campo-duna-1422042188,CASAS NO CAMPO DUNA,R$ 645.000,3,3,3,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-a-partir-de-r-749-950-00-no-pedra-branca-1433881201,"Casas a partir de R$749.950,00 no Pedra Branca",R$ 745.950,2,3,2,90m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/duas-casas-em-um-terreno-1386349831,Duas casas em um terreno,R$ 450.000,375m²,,,,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-a-venda-em-um-terreno-de-360-m2-bairro-alto-aririu-palhoca-sc-250-mil-1434336683,Duas casas a venda em um terreno de 360 m2 Bairro Alto Aririu Palhoça SC - 250 mil,R$ 250.000,4,2,2,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-5-dormitorios-no-bairro-ipiranga-em-sao-jose-1434331985,Casas com 5 dormitórios no Bairro Ipiranga em São José,R$ 900.000,5+,4,3,180m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434326155,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",R$ 1.950.000,5+,5+,5+,476m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-4-apartamentos-a-venda-a-50-metros-da-praia-no-bairro-pantano-do-sul-flori-1434324394,"Duas casas + 4 apartamentos à venda, a 50 metros da praia, no bairro Pântano do Sul, Flori",R$ 1.950.000,5+,5+,5+,476m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casas-nova-palhoca-1434170954,Alugo casas Nova Palhoça,,5+,,5+,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casa-para-vender-cachoeira-bom-jesus-sao-duas-casas-valores-separados-1434097054,Casa para vender cachoeira bom jesus(sao duas casas valores separados ),R$ 1.100.000,3,,2,1,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/temporada/casas-para-temporada-em-itapoa-1434005348,Casas para temporada em Itapoá,R$ 250,2,,,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/alugo-casas-na-costeira-do-pirajubae-1433992541,Alugo casas na Costeira do Pirajubaé,,4,,2,2,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-e-apartamentos-no-sul-da-ilha-1379940912,Casas e Apartamentos no Sul da ilha!,R$ 1.150.000,3,3,2,145m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/duas-casas-no-mesmo-terreno-1433696952,Duas casas no mesmo terreno,R$ 350.000,3,3,1,380m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-no-campeche-com-piscina-1433643157,Casas no Campeche com piscina,R$ 1.500.000,4,4,4,120m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-pre-fabricadas-1433548568,casas pré fabricadas,R$ 36.000,2,1,4,36m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/aluguel-de-casas-1374702297,Aluguel de casas,R$ 4.200,2,3,5+,150m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/casas-com-vista-panoramica-em-ponta-das-canas-1433394882,Casas com Vista Panorâmica em Ponta das Canas,R$ 25.000.000,4,4,5+,1960m²,2025-09-05 19:42:48
https://sc.olx.com.br/norte-de-santa-catarina/imoveis/vendo-duas-casas-em-rio-dos-cedros-450-mil-1433268724,Vendo duas casas em  rio dos cedros!! 450 mil,R$ 450.000,4,2,2,200m²,2025-09-05 19:42:48
https://sc.olx.com.br/florianopolis-e-regiao/imoveis/vendo-casa-4-quartos-com-ponto-comercial-140m-proximo-casas-da-agua-aririu-palhoca-1433224226,"Vendo Casa 4 quartos, com ponto comercial, 140m², próximo Casas da Água, Aririú - Palhoça",R$ 410.000,4,3,1,140m²,2025-09-05 19:42:48
